instant,dteday,season,yr,mnth,weekday,workingday,weathersit,temp,hum,windspeed,leaflets,price reduction,casual,registered,cnt
154,2011-06-03,2.0,0,6,5,1.0,1.0,24.8,53.12505,0.253121,991.0,0.0,898.0,4414.0,5312.0
685,2012-11-15,4.0,1,11,4,1.0,2.0,12.8667,93.06255,0.1529869999999999,601.0,0.0,320.0,5125.0,5445.0
368,2012-01-03,1.0,1,1,2,1.0,1.0,6.0,66.1875,0.365671,549.0,0.0,89.0,2147.0,2236.0
472,2012-04-16,2.0,1,4,1,0.0,1.0,26.5667,84.25005,0.284829,740.0,0.0,1198.0,5172.0,6370.0
442,2012-03-17,1.0,1,3,6,0.0,2.0,20.5667,113.37495,0.110704,773.0,1.0,3155.0,4681.0,7836.0
257,2011-09-14,3.0,0,9,3,1.0,1.0,26.9333,104.56245,0.1673,761.0,0.0,647.0,4138.0,4785.0
413,2012-02-17,1.0,1,2,5,1.0,1.0,13.7333,84.1551970890411,0.205846,877.0,1.0,349.0,3805.0,4154.0
643,2012-10-04,4.0,1,10,4,1.0,2.0,26.3,108.43755,0.117546,479.0,0.0,891.0,6437.0,7328.0
274,2011-10-01,4.0,0,10,6,0.0,2.0,16.4,113.0625,0.292296,628.0,0.0,480.0,1949.0,2429.0
129,2011-05-09,2.0,0,5,1,1.0,1.0,21.3,88.3125,0.176,838.0,0.0,664.0,3698.0,4362.0
175,2011-06-24,2.0,0,6,5,1.0,1.0,28.9667,85.99995,0.222025,779.0,0.0,969.0,4022.0,4991.0
213,2011-08-01,3.0,0,8,1,1.0,1.0,30.8667,84.1551970890411,0.156717,533.0,0.0,729.0,3537.0,4266.0
533,2012-06-16,2.0,1,6,6,0.0,1.0,25.2667,75.62505,0.166667,932.0,0.0,2963.0,4739.0,7702.0
590,2012-08-12,3.0,1,8,0,0.0,1.0,28.0333,79.56255,0.122512,513.0,0.0,2182.0,4362.0,6544.0
221,2011-08-09,3.0,0,8,2,1.0,1.0,31.0,85.56255,0.151121,464.0,0.0,907.0,3695.0,4602.0
269,2011-09-26,3.0,0,9,1,1.0,2.0,25.9667,127.24995,0.1107,495.0,1.0,684.0,3946.0,4630.0
417,2012-02-21,1.0,1,2,2,1.0,1.0,11.513,89.1522,0.205717,587.0,0.0,163.0,3614.0,3777.0
30,2011-01-30,1.0,0,1,0,0.0,1.0,8.6609,108.3261,0.0739826,548.0,0.0,140.0,956.0,1096.0
565,2012-07-18,3.0,1,7,3,1.0,1.0,31.7333,86.56245,0.137442,977.0,0.0,10799.0,4914.0,15713.0
594,2012-08-16,3.0,1,8,4,1.0,1.0,28.7667,77.87505,0.141796,755.0,0.0,1338.0,6267.0,7605.0
135,2011-05-15,2.0,0,5,0,0.0,2.0,22.5,130.06245,0.152979,1024.0,0.0,1582.0,2971.0,4553.0
425,2012-02-29,1.0,1,2,3,1.0,2.0,13.7739,120.71745,0.179117,629.0,0.0,65.0,1769.0,1834.0
227,2011-08-15,3.0,0,8,1,1.0,1.0,26.6333,106.81245,0.208954,815.0,0.0,775.0,3563.0,4338.0
502,2012-05-16,2.0,1,5,3,1.0,1.0,25.4667,104.68755,0.122512,588.0,0.0,991.0,6433.0,7424.0
524,2012-06-07,2.0,1,6,4,1.0,1.0,24.1,84.1551970890411,0.15735,537.0,0.0,1038.0,6456.0,7494.0
188,2011-07-07,3.0,0,7,4,1.0,1.0,30.0,84.1551970890411,0.1592,723.0,0.0,10754.0,3838.0,14592.0
9,2011-01-09,1.0,0,1,0,0.0,1.0,5.5333,65.12505,0.36195,836.0,0.0,54.0,768.0,822.0
378,2012-01-13,1.0,1,1,5,1.0,1.0,10.9667,76.125,0.378108,911.0,0.0,174.0,3040.0,3214.0
722,2012-12-22,4.0,1,12,6,0.0,1.0,10.6333,66.1875,0.407346,572.0,0.0,205.0,1544.0,1749.0
4,2011-01-04,1.0,0,1,2,1.0,1.0,8.0,88.56525,0.160296,734.0,0.0,108.0,1454.0,1562.0
557,2012-07-10,3.0,1,7,2,1.0,2.0,28.8333,100.125,0.1517369999999999,516.0,1.0,10954.0,5336.0,16290.0
144,2011-05-24,2.0,0,5,2,1.0,2.0,26.4,111.12495,0.207092,829.0,0.0,659.0,3833.0,4492.0
481,2012-04-25,2.0,1,4,3,1.0,1.0,19.0667,64.18755,0.118792,636.0,0.0,655.0,5541.0,6196.0
578,2012-07-31,3.0,1,7,2,1.0,1.0,28.5333,105.62505,0.165425,864.0,0.0,10968.0,6248.0,17216.0
564,2012-07-17,3.0,1,7,2,1.0,1.0,32.7333,75.87495,0.114429,809.0,0.0,10921.0,5865.0,16786.0
683,2012-11-13,4.0,1,11,2,1.0,2.0,13.7333,99.43755,0.342046,542.0,0.0,327.0,3767.0,4094.0
699,2012-11-29,4.0,1,11,4,1.0,1.0,11.2348,83.3478,0.115522,509.0,0.0,243.0,5080.0,5323.0
637,2012-09-28,3.0,1,9,5,1.0,2.0,24.7667,103.5,0.164179,658.0,0.0,1045.0,6370.0,7415.0
548,2012-07-01,3.0,1,7,0,0.0,1.0,32.6333,84.1551970890411,0.1685289999999999,860.0,1.0,11421.0,4110.0,15531.0
261,2011-09-18,3.0,0,9,0,0.0,1.0,20.3,104.25,0.178483,750.0,1.0,1353.0,2921.0,4274.0
626,2012-09-17,3.0,1,9,1,1.0,2.0,23.2333,110.18745,0.151742,848.0,0.0,1022.0,5847.0,6869.0
681,2012-11-11,4.0,1,11,0,0.0,1.0,16.8333,98.87505,0.1275,783.0,0.0,2290.0,4562.0,6852.0
397,2012-02-01,1.0,1,2,3,1.0,1.0,18.7667,76.18755,0.189067,787.0,0.0,304.0,4275.0,4579.0
